City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
728,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
733,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
740,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
746,Dingle,PH,84.63,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
755,Champerico,GT,80.67,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
758,Puerto Ayora,EC,77.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
763,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
767,Sulangan,PH,85.35,clear sky,11.1373,123.7228,Maia's Beach Resort
768,Bambous Virieux,MU,85.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
769,Cap Malheureux,MU,85.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
782,Sandakan,MY,85.68,few clouds,5.8402,118.1179,Hotel Sandakan
788,Sabang,ID,83.82,scattered clouds,5.8933,95.3214,Hotel Citra
811,Nushki,PK,84.78,clear sky,29.5542,66.0215,Shams hotel
812,Karangampel,ID,85.01,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
818,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
821,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
822,Port Elizabeth,ZA,77.29,clear sky,-33.918,25.5701,39 On Nile Guest House
830,Kavaratti,IN,84.06,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
832,Kalmunai,LK,86.76,scattered clouds,7.4167,81.8167,VS Villa
842,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
843,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
845,Padang,ID,87.85,few clouds,-0.9492,100.3543,Mercure Padang
851,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
852,Puerto Ayora,EC,77.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
860,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
861,Manta,EC,76.23,overcast clouds,-0.95,-80.7333,Balandra Hotel
863,Georgetown,MY,89.55,thunderstorm,5.4112,100.3354,Cititel Penang
865,Benalla,AU,78.55,scattered clouds,-36.55,145.9833,Rose City Motor Inn
869,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
876,Sinnamary,GF,77.29,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
878,Umm Lajj,SA,80.38,clear sky,25.0213,37.2685,Moon light Furnished Units
879,Faanui,PF,82.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
889,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
892,Labuhan,ID,84.7,broken clouds,-6.8844,112.2051,DoubleFAG
893,Tete,MZ,75.29,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
895,Port Elizabeth,ZA,77.29,clear sky,-33.918,25.5701,39 On Nile Guest House
901,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
