City_ID,City,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Country,Date,Weather description
871,Ushuaia,-54.8,-68.3,38.86,81,75,18.41,AR,2022-03-29 08:41:30,broken clouds
872,Cape Town,-33.9258,18.4232,64.11,89,100,16.11,ZA,2022-03-29 08:47:48,light intensity drizzle rain
873,Nuuk,64.1835,-51.7216,25.41,93,100,11.5,GL,2022-03-29 08:46:34,fog
874,Severo-Kurilsk,50.6789,156.125,28.49,73,92,36.53,RU,2022-03-29 08:47:52,overcast clouds
875,Ixtapa,20.7,-105.2,66.22,84,4,1.01,MX,2022-03-29 08:47:53,clear sky
876,Sinnamary,5.3833,-52.95,77.29,81,100,12.75,GF,2022-03-29 08:47:53,overcast clouds
877,New Norfolk,-42.7826,147.0587,61.92,64,97,1.01,AU,2022-03-29 08:47:54,overcast clouds
878,Umm Lajj,25.0213,37.2685,80.38,43,0,11.01,SA,2022-03-29 08:47:54,clear sky
879,Faanui,-16.4833,-151.75,82.71,73,48,17.29,PF,2022-03-29 08:41:37,light rain
880,Matay,28.419,30.7792,72.95,26,0,9.17,EG,2022-03-29 08:47:55,clear sky
881,Aparecida Do Taboado,-20.0867,-51.0936,68.94,94,0,5.06,BR,2022-03-29 08:47:55,clear sky
882,Hobart,-42.8794,147.3294,62.28,81,75,16.11,AU,2022-03-29 08:47:56,broken clouds
883,Fairbanks,64.8378,-147.7164,33.76,70,100,10.36,US,2022-03-29 08:47:56,overcast clouds
884,Dikson,73.5069,80.5464,11.01,82,100,10.87,RU,2022-03-29 08:47:57,overcast clouds
885,Teguise,29.0605,-13.564,61.02,77,40,8.05,ES,2022-03-29 08:47:57,scattered clouds
886,Albany,42.6001,-73.9662,18.68,63,24,1.99,US,2022-03-29 08:43:42,few clouds
887,Tessalit,20.1986,1.0114,90.48,6,7,18.07,ML,2022-03-29 08:47:58,clear sky
888,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:39:07,clear sky
889,Rikitea,-23.1203,-134.9692,77.65,71,92,2.8,PF,2022-03-29 08:46:41,overcast clouds
890,Kapaa,22.0752,-159.319,73.72,84,75,11.5,US,2022-03-29 08:46:44,broken clouds
891,Hamilton,39.1834,-84.5333,32.63,54,0,10.36,US,2022-03-29 08:45:07,clear sky
892,Labuhan,-6.8844,112.2051,84.7,73,51,10.8,ID,2022-03-29 08:42:53,broken clouds
893,Tete,-16.1564,33.5867,75.29,94,75,9.22,MZ,2022-03-29 08:48:00,broken clouds
894,Tuktoyaktuk,69.4541,-133.0374,-19.84,99,30,7.92,CA,2022-03-29 08:48:00,scattered clouds
895,Port Elizabeth,-33.918,25.5701,77.29,65,0,3.44,ZA,2022-03-29 08:48:00,clear sky
896,Cape Town,-33.9258,18.4232,64.11,89,100,16.11,ZA,2022-03-29 08:47:48,light intensity drizzle rain
897,Salalah,17.0151,54.0924,91.49,15,0,19.57,OM,2022-03-29 08:48:02,clear sky
898,Castro,-24.7911,-50.0119,60.22,93,67,7.18,BR,2022-03-29 08:48:02,broken clouds
899,Masallatah,32.6167,14.0,62.02,50,67,4.52,LY,2022-03-29 08:48:03,broken clouds
900,Severo-Kurilsk,50.6789,156.125,28.49,73,92,36.53,RU,2022-03-29 08:47:52,overcast clouds
901,Rikitea,-23.1203,-134.9692,77.65,71,92,2.8,PF,2022-03-29 08:46:41,overcast clouds
902,Hermanus,-34.4187,19.2345,71.8,65,98,16.33,ZA,2022-03-29 08:46:34,overcast clouds
903,Severnyy,50.677,36.5532,53.64,40,0,13.42,RU,2022-03-29 08:49:04,clear sky
904,Faanui,-16.4833,-151.75,82.71,73,48,17.29,PF,2022-03-29 08:41:37,light rain
905,Saskylakh,71.9167,114.0833,-3.8,93,100,9.31,RU,2022-03-29 08:49:05,overcast clouds
906,Mar Del Plata,-38.0023,-57.5575,62.87,90,0,6.91,AR,2022-03-29 08:43:31,clear sky
907,Kaitangata,-46.2817,169.8464,55.87,94,100,3.38,NZ,2022-03-29 08:41:43,overcast clouds
908,Vao,-22.6667,167.4833,78.53,80,100,16.75,NC,2022-03-29 08:49:06,light rain
909,Mataura,-46.1927,168.8643,55.44,92,100,1.5,NZ,2022-03-29 08:45:26,overcast clouds
910,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:39:07,clear sky
911,Saint-Philippe,-21.3585,55.7679,85.59,81,96,3.18,RE,2022-03-29 08:49:06,light rain
912,Kokopo,-4.352,152.2633,80.71,79,99,8.84,PG,2022-03-29 08:49:07,overcast clouds
913,Upernavik,72.7868,-56.1549,18.82,74,100,4.97,GL,2022-03-29 08:46:36,overcast clouds
914,Bambous Virieux,-20.3428,57.7575,85.21,70,40,6.91,MU,2022-03-29 08:45:13,scattered clouds
915,Yellowknife,62.456,-114.3525,5.56,92,75,3.44,CA,2022-03-29 08:46:59,light snow
916,Cape Town,-33.9258,18.4232,64.11,89,100,16.11,ZA,2022-03-29 08:47:48,light intensity drizzle rain
917,Bandarbeyla,9.4942,50.8122,83.53,62,9,16.26,SO,2022-03-29 08:49:08,clear sky
918,Kamaishi,39.2667,141.8833,42.15,71,100,11.03,JP,2022-03-29 08:49:09,overcast clouds
919,Castro,-24.7911,-50.0119,60.22,93,67,7.18,BR,2022-03-29 08:48:02,broken clouds
920,Maniitsoq,65.4167,-52.9,18.91,75,17,5.93,GL,2022-03-29 08:49:09,few clouds
921,Constitucion,-35.3333,-72.4167,52.57,82,0,6.78,CL,2022-03-29 08:36:56,clear sky
922,Mataura,-46.1927,168.8643,55.44,92,100,1.5,NZ,2022-03-29 08:45:26,overcast clouds
923,Rikitea,-23.1203,-134.9692,77.65,71,92,2.8,PF,2022-03-29 08:46:41,overcast clouds
924,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:49:10,clear sky
925,Mahebourg,-20.4081,57.7,84.49,70,40,6.91,MU,2022-03-29 08:42:57,scattered clouds
926,Sungai Padi,6.0851,101.8766,89.38,64,33,6.55,TH,2022-03-29 08:49:11,scattered clouds
927,Tera,14.0078,0.7531,88.97,4,8,17.34,NE,2022-03-29 08:49:11,clear sky
928,Thompson,55.7435,-97.8558,17.76,86,100,5.75,CA,2022-03-29 08:49:12,overcast clouds
929,Buala,-8.145,159.5921,80.74,81,100,2.17,SB,2022-03-29 08:49:12,overcast clouds
930,Mataura,-46.1927,168.8643,55.44,92,100,1.5,NZ,2022-03-29 08:45:26,overcast clouds
931,Broome,42.2506,-75.833,20.14,79,100,12.66,US,2022-03-29 08:49:13,overcast clouds
932,Avarua,-21.2078,-159.775,78.85,89,20,5.75,CK,2022-03-29 08:42:47,few clouds
933,Aykhal,66.0,111.5,11.68,84,100,11.61,RU,2022-03-29 08:49:13,overcast clouds
934,Znamenka,52.4167,41.4311,36.66,100,97,15.17,RU,2022-03-29 08:49:14,overcast clouds
935,Rantepao,-2.9701,119.8978,73.69,92,98,1.41,ID,2022-03-29 08:49:14,overcast clouds
936,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:49:10,clear sky
937,Saint-Philippe,-21.3585,55.7679,85.59,81,96,3.18,RE,2022-03-29 08:49:06,light rain
938,Mucurapo,10.6667,-61.5333,75.25,89,100,8.57,TT,2022-03-29 08:49:15,overcast clouds
939,Kismayo,-0.3582,42.5454,86.67,61,5,15.32,SO,2022-03-29 08:49:15,clear sky
940,San Cristobal,7.7669,-72.225,65.84,87,100,2.44,VE,2022-03-29 08:44:09,overcast clouds
941,Udachnyy,66.4167,112.4,16.45,56,100,12.19,RU,2022-03-29 08:49:16,overcast clouds
942,Caravelas,-17.7125,-39.2481,74.59,89,64,3.96,BR,2022-03-29 08:45:25,broken clouds
943,Ilulissat,69.2167,-51.1,23.02,68,89,0.0,GL,2022-03-29 08:45:24,overcast clouds
944,Ribeira Grande,38.5167,-28.7,61.2,94,75,8.05,PT,2022-03-29 08:45:22,mist
945,Ponta Do Sol,32.6667,-17.1,64.0,73,60,6.22,PT,2022-03-29 08:49:17,broken clouds
946,Kruisfontein,-34.0033,24.7314,93.67,24,96,26.19,ZA,2022-03-29 08:45:25,overcast clouds
947,Erzin,36.9559,36.2,65.5,42,100,1.1,TR,2022-03-29 08:49:17,overcast clouds
948,San Patricio,28.017,-97.5169,71.89,93,100,16.02,US,2022-03-29 08:50:18,overcast clouds
949,Tuktoyaktuk,69.4541,-133.0374,-19.84,99,30,7.92,CA,2022-03-29 08:48:00,scattered clouds
950,Mataura,-46.1927,168.8643,55.44,92,100,1.5,NZ,2022-03-29 08:45:26,overcast clouds
951,Naze,28.3667,129.4833,65.32,84,89,13.65,JP,2022-03-29 08:50:19,overcast clouds
952,Bambanglipuro,-7.95,110.2833,84.02,70,27,7.76,ID,2022-03-29 08:50:20,scattered clouds
953,Chokurdakh,70.6333,147.9167,-8.84,90,13,4.23,RU,2022-03-29 08:50:21,few clouds
954,Nouadhibou,20.931,-17.0347,64.38,94,0,10.36,MR,2022-03-29 08:50:21,clear sky
955,Port-Gentil,-0.7193,8.7815,78.76,89,75,6.91,GA,2022-03-29 08:50:21,broken clouds
956,Katsuura,35.1333,140.3,55.42,79,100,10.22,JP,2022-03-29 08:41:40,light rain
957,Taywarah,33.35,64.4167,52.09,9,0,5.41,AF,2022-03-29 08:50:22,clear sky
958,Mataura,-46.1927,168.8643,55.44,92,100,1.5,NZ,2022-03-29 08:45:26,overcast clouds
959,Hasaki,35.7333,140.8333,50.4,60,100,8.23,JP,2022-03-29 08:50:23,overcast clouds
960,Ylojarvi,61.5563,23.5961,26.62,49,20,6.91,FI,2022-03-29 08:50:24,light snow
961,Khani,41.9563,42.9566,47.77,93,57,5.66,GE,2022-03-29 08:50:24,broken clouds
962,Hambantota,6.1241,81.1185,89.94,70,20,8.05,LK,2022-03-29 08:50:25,few clouds
963,Nikolskoye,59.7035,30.7861,28.87,79,100,5.14,RU,2022-03-29 08:45:14,light snow
964,New Norfolk,-42.7826,147.0587,61.92,64,97,1.01,AU,2022-03-29 08:47:54,overcast clouds
965,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:49:10,clear sky
966,San Cristobal,7.7669,-72.225,65.84,87,100,2.44,VE,2022-03-29 08:44:09,overcast clouds
967,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:49:10,clear sky
968,Matara,5.9485,80.5353,86.97,64,22,10.87,LK,2022-03-29 08:50:27,few clouds
969,Muros,42.7762,-9.0603,57.09,78,32,7.61,ES,2022-03-29 08:50:27,scattered clouds
970,Anloga,5.7947,0.8973,84.61,76,37,11.07,GH,2022-03-29 08:50:28,scattered clouds
971,Atuona,-9.8,-139.0333,78.87,80,75,14.79,PF,2022-03-29 08:50:28,broken clouds
972,New Norfolk,-42.7826,147.0587,61.92,64,97,1.01,AU,2022-03-29 08:47:54,overcast clouds
973,Hobart,-42.8794,147.3294,62.28,81,75,16.11,AU,2022-03-29 08:47:56,broken clouds
974,Jamestown,42.097,-79.2353,22.59,63,100,9.22,US,2022-03-29 08:46:47,overcast clouds
